tool	platform	n_value	corr_spearman	mean_rel_diff
Isosceles	Promethion	100	0.5795259525952596	0.5722382650135406
Isosceles	Promethion	200	0.7021648174322919	0.5715568387895686
Isosceles	Promethion	500	0.7095873725300792	0.5757839936034147
Isosceles	Promethion	1000	0.6718171437022633	0.5814894272120155
Isosceles	Promethion	2000	0.6522791768772314	0.599377437637028
Isosceles	Promethion	5000	0.6703990703423213	0.6228784165597203
Isosceles	Promethion	10000	0.722750762679528	0.6904570663061119
Isosceles	Promethion	15000	0.750427634421851	0.7783962016487926
Isosceles	MinION	100	0.6316111611161117	0.5774128077151923
Isosceles	MinION	200	0.6984694736629433	0.5537065679983694
Isosceles	MinION	500	0.7010154945350956	0.5604121594747836
Isosceles	MinION	1000	0.6848632262676335	0.5709972855984611
Isosceles	MinION	2000	0.6576126179476963	0.592915200975034
Isosceles	MinION	5000	0.6810823544359098	0.6165237251570066
Isosceles	MinION	10000	0.7303719535847336	0.6872915684960939
Isosceles	MinION	15000	0.7554945641419607	0.7725782646859671
IsoQuant	Promethion	100	0.3140933821805267	1.2058162302837896
IsoQuant	Promethion	200	0.16370093371337985	1.276310849878381
IsoQuant	Promethion	500	0.21548758094651063	1.2280717085691824
IsoQuant	Promethion	1000	0.19725490284183808	1.1524444180222642
IsoQuant	Promethion	2000	0.2686001162185247	1.1419686442367754
IsoQuant	Promethion	5000	0.32891304191990817	1.1723590016797991
IsoQuant	Promethion	10000	0.382153496485387	1.2221755191873547
IsoQuant	Promethion	15000	0.43666448823457976	1.2607272082569743
IsoQuant	MinION	100	0.22944926532482868	1.1446043397987633
IsoQuant	MinION	200	0.2941091266658435	1.1808232235875167
IsoQuant	MinION	500	0.2140903604493613	1.1275710923119375
IsoQuant	MinION	1000	0.24082504082017384	1.0827023353328615
IsoQuant	MinION	2000	0.31895675269295254	1.0804036787193123
IsoQuant	MinION	5000	0.3731018872390571	1.1224660927583816
IsoQuant	MinION	10000	0.4382210649867054	1.1934593054968583
IsoQuant	MinION	15000	0.4814896890896577	1.2513255934474796
FLAMES	Promethion	100	0.658453746867063	0.7690453626754514
FLAMES	Promethion	200	0.6704010506720574	0.7597601089701608
FLAMES	Promethion	500	0.6345879202281632	0.7749620287391186
FLAMES	Promethion	1000	0.6049067704837592	0.8603230131548024
FLAMES	Promethion	2000	0.5859471937287506	0.9665551783838712
FLAMES	Promethion	5000	0.5586913052626813	1.107844044868595
FLAMES	MinION	100	0.6900292833294206	0.6259279182208356
FLAMES	MinION	200	0.7044911797264476	0.6907179129274424
FLAMES	MinION	500	0.6644323762360036	0.7357884511422416
FLAMES	MinION	1000	0.6189558841320804	0.8317988141447854
FLAMES	MinION	2000	0.5841107458072509	0.9144083129416831
FLAMES	MinION	5000	0.5781982468001164	1.0279008410427162
Sicelore	Promethion	100	0.17731737611318826	1.0193792785613645
Sicelore	Promethion	200	0.3885558659038395	0.9937103325143285
Sicelore	Promethion	500	0.44251834891097697	0.9402858281833157
Sicelore	Promethion	1000	0.4639258799540696	0.9138737158807788
Sicelore	Promethion	2000	0.4809655676511501	0.9440035596479103
Sicelore	Promethion	5000	0.5532504759052025	1.0893148354270674
Sicelore	Promethion	10000	0.575170908010566	1.2278537655318402
Sicelore	Promethion	15000	0.5955004933471993	1.3507382588049353
Sicelore	MinION	100	0.18500603319794795	0.9181436167017207
Sicelore	MinION	200	0.3920668649739544	0.9565590893484762
Sicelore	MinION	500	0.45769175907875204	0.8442335477199433
Sicelore	MinION	1000	0.4759061408174977	0.806833203471
Sicelore	MinION	2000	0.5304460439003219	0.846789924000918
Sicelore	MinION	5000	0.6002337423298167	0.9960569123620229
Sicelore	MinION	10000	0.6244547661600283	1.1696783978012646
Sicelore	MinION	15000	0.6263001300502162	1.3079159372551525
